file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\test\java\org\apache\commons\lang3\CharSetTest.java,org.apache.commons.lang3.CharSetTest,class,5,5,0,5,15,2,0,23,105,0.0,0.0,0.0,15,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,150,355,0,0,0,0,0,88,40,104,0,32,0,0,0,0,55,0,0
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\test\java\org\apache\commons\lang3\event\EventUtilsTest.java,org.apache.commons.lang3.event.EventUtilsTest$MultipleEventListener,interface,0,0,0,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\test\java\org\apache\commons\lang3\RuntimeEnvironmentTest.java,org.apache.commons.lang3.RuntimeEnvironmentTest,class,6,7,1,6,5,2,0,14,1,0.5833333,NaN,NaN,3,1,0,2,0,1,1,0,0,0,4,3,0,4,0,0,3,0,6,26,2,0,2,0,0,23,0,6,3,7,1,0,0,0,40,0,0
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\test\java\org\apache\commons\lang3\builder\ReflectionDiffBuilderTest.java,org.apache.commons.lang3.builder.ReflectionDiffBuilderTest$FloatWrapper,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,10,0
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\test\java\org\apache\commons\lang3\StringUtilsAbbreviateTest.java,org.apache.commons.lang3.StringUtilsAbbreviateTest,class,4,5,1,4,17,2,0,12,36,0.0,0.0,0.0,9,0,0,2,0,7,7,0,0,0,0,0,0,0,0,0,0,0,6,159,0,2,2,0,2,244,176,19,7,19,1,0,0,8,93,0,0
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\main\java\org\apache\commons\lang3\time\FastDateParser.java,org.apache.commons.lang3.time.FastDateParser$NumberStrategy,innerclass,3,3,0,3,12,2,0,13,4,0.4,0.0,0.0,5,0,1,0,0,4,5,0,0,0,1,0,0,1,0,0,1,0,3,48,5,2,2,0,0,2,1,8,2,7,3,0,0,0,51,10,0
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\test\java\org\apache\commons\lang3\concurrent\ConstantInitializerTest.java,org.apache.commons.lang3.concurrent.ConstantInitializerTest,class,5,6,1,5,13,2,0,18,0,0.3,0.0,0.0,10,0,1,1,0,8,9,0,0,0,2,1,0,2,0,0,1,0,2,55,0,0,1,0,0,14,3,10,4,7,2,0,0,0,80,0,0
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\test\java\org\apache\commons\lang3\reflect\TypeUtilsTest.java,org.apache.commons.lang3.reflect.TypeUtilsTest$1Container,innerclass,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\test\java\org\apache\commons\lang3\ValidateTest.java,org.apache.commons.lang3.ValidateTest$NotEmpty$WithCharSequence$WithoutMessage,innerclass,4,4,0,4,4,1,0,7,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,6,0,2,0,2,0,0,0,2,30,16,0
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\test\java\org\apache\commons\lang3\event\EventListenerSupportTest.java,org.apache.commons.lang3.event.EventListenerSupportTest$Anonymous5,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\main\java\org\apache\commons\lang3\BitField.java,org.apache.commons.lang3.BitField,class,1,4,3,1,37,1,0,14,151,0.6296296,0.0,0.0,27,0,27,0,0,0,27,0,0,0,2,0,0,2,0,0,2,0,2,87,25,0,6,0,8,0,6,4,4,2,0,0,0,0,150,1,0
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\test\java\org\apache\commons\lang3\reflect\TypeUtilsTest.java,org.apache.commons.lang3.reflect.TypeUtilsTest$MyException,innerclass,0,0,0,0,1,3,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,1,0,0,0,0,0,1,1,0,1,0,0,0,0,11,8,0
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\test\java\org\apache\commons\lang3\time\FastDatePrinterTest.java,org.apache.commons.lang3.time.FastDatePrinterTest$Expected1806,enum,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,4,0,0,0,0,4,4,0,0,11,0,0,0,0,0,9,0,4,0,4,0,0,0,0,12,2,0
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\test\java\org\apache\commons\lang3\builder\HashCodeBuilderAndEqualsBuilderTest.java,org.apache.commons.lang3.builder.HashCodeBuilderAndEqualsBuilderTest,class,10,11,1,10,10,4,0,13,28,0.0,0.0,0.0,8,0,0,3,0,5,5,0,0,0,0,0,0,0,0,0,0,0,11,76,0,1,0,0,0,13,20,4,0,4,1,0,4,0,60,0,0
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\test\java\org\apache\commons\lang3\text\translate\UnicodeUnpairedSurrogateRemoverTest.java,org.apache.commons.lang3.text.translate.UnicodeUnpairedSurrogateRemoverTest,class,3,3,0,3,2,2,0,5,0,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,2,0,0,0,0,2,2,0,0,14,0,0,0,0,0,0,6,2,0,2,0,0,0,0,24,0,0
C:\Users\largu\Documents\Vietnam\dataset\projects\commons-lang\src\test\java\org\apache\commons\lang3\builder\HashCodeBuilderTest.java,org.apache.commons.lang3.builder.HashCodeBuilderTest$TestObjectHashCodeExclude2,innerclass,1,1,0,1,3,1,0,0,0,0.33333334,0.0,0.0,3,0,2,0,0,1,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,10,8,0
