,test_smell_Assertion Roulette,test_smell_Conditional Test Logic,test_smell_Constructor Initialization,test_smell_Default Test,test_smell_EmptyTest,test_smell_Exception Catching Throwing,test_smell_General Fixture,test_smell_Mystery Guest,test_smell_Print Statement,test_smell_Redundant Assertion,test_smell_Sensitive Equality,test_smell_Verbose Test,test_smell_Sleepy Test,test_smell_Eager Test,test_smell_Lazy Test,test_smell_Duplicate Assert,test_smell_Unknown Test,test_smell_IgnoredTest,test_smell_Resource Optimism,test_smell_Magic Number Test,test_smell_Dependent Test
code_smell_CouplingBetweenObjects,0.15008421238965267,0.1732650648459574,-0.02902309008095579,,-0.0166566911334705,0.19516017290088516,0.1268110936267806,0.034774113849234296,0.03702756924357461,0.0006468713443723275,0.04244103978478183,-0.01622584651076228,0.12234555902537775,,,0.1587699368463602,0.16072300536472908,-0.010366327658216837,0.05386625429338062,0.16050450410168612,
code_smell_CyclomaticComplexity,0.09428230124868425,0.0944362019061821,-0.05907376283044863,,-0.014582858060218206,0.1324732050881003,0.0209622264000475,0.04000471057120219,0.02670829576241904,-0.00811932312485578,0.088601245596198,0.012320888475255273,0.05313781887965411,,,0.09707341470242455,0.08599548799619813,0.07841673434034752,0.04381376089369889,0.08663086612586451,
code_smell_ExcessiveParameterList,0.05752733339699102,0.06064345407885581,-0.016554325906626553,,-0.0002603953436438667,0.10799660713603124,0.04507335876853795,-0.019233537352097065,0.008147156999795789,-0.026265438895153342,0.041170882021531824,-0.011259268420963996,0.042865939127647815,,,0.06687669996491903,0.055475968445100624,0.04520283304382612,-0.011070225555485836,0.10834775634404664,
code_smell_GodClass,0.08191984194528805,0.09566460760409626,-0.04562167477299906,,0.0031146083192970767,0.15831059728778404,0.022057847546924563,0.08912062890545674,0.04631074888726669,0.007663806868834406,0.0868809717272734,0.005679583057602257,0.11278680959610514,,,0.12831231017563455,0.10321030393721055,0.11548068388897288,0.10181289444218791,0.11218062870727054,
code_smell_TooManyFields,-0.061560998859542124,-0.02317700112385358,0.010111958173763085,,0.008755555447915269,0.0077645681369376985,-0.01648130089830252,0.029140109870665742,0.021893680276911874,-0.02748095236031378,0.028002313921842735,-0.008542311953795631,0.06550614108299058,,,-0.018419213749093027,-0.024740034474682527,0.0349367803087174,0.04831772390335458,-0.011659276593993415,
code_smell_TooManyMethods,0.041962773085690366,0.05491519995234189,0.027935137259131847,,0.04175849396186031,0.029496509212265834,-0.019647724259637876,0.017834509194886515,0.029072797747113115,0.06844474661778782,0.011436347276117339,0.007409497626613742,0.07307862817752503,,,0.11159619974225754,0.1077060949236866,0.06932448532477713,0.045048380813554514,0.08855027612551618,
