App,Tag,FilePath,RelativeFilePath,FileName,ClassName,TotalImports,TotalMethods,TotalMethodStatements,TotalTestMethods,AnnotationCount,TestsWithoutAnnotationCount,HasTestInFileName,HasTestInClassName,junitFrameworkTest,junitFrameworkTestCase,orgJunitTest,androidTestAndroidTestCase,androidTestInstrumentationTestCase,orgJunitAssert,androidTestActivityInstrumentationTestCase2,HasTechnicalDebtComment
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-core\src\test\java\org\hibernate\orm\test\mapping\fetch\depth\form\FormFetchDepth0Test.java,projects/hibernate-orm/hibernate-core/src/test/java/org/hibernate/orm/test/mapping/fetch/depth/form/FormFetchDepth0Test.java,FormFetchDepth0Test.java,FormFetchDepth0Test,3,0,0,0,0,0,true,true,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-core\src\test\java\org\hibernate\orm\test\mapping\fetch\depth\form\FormFetchDepth1Test.java,projects/hibernate-orm/hibernate-core/src/test/java/org/hibernate/orm/test/mapping/fetch/depth/form/FormFetchDepth1Test.java,FormFetchDepth1Test.java,FormFetchDepth1Test,3,0,0,0,0,0,true,true,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-core\src\test\java\org\hibernate\orm\test\mapping\fetch\depth\form\FormFetchDepth2Test.java,projects/hibernate-orm/hibernate-core/src/test/java/org/hibernate/orm/test/mapping/fetch/depth/form/FormFetchDepth2Test.java,FormFetchDepth2Test.java,FormFetchDepth2Test,3,0,0,0,0,0,true,true,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-core\src\test\java\org\hibernate\orm\test\mapping\fetch\depth\NoDepthTests.java,projects/hibernate-orm/hibernate-core/src/test/java/org/hibernate/orm/test/mapping/fetch/depth/NoDepthTests.java,NoDepthTests.java,NoDepthTests,21,7,14,6,4,2,true,true,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-core\src\test\java\org\hibernate\orm\test\mapping\fetch\subselect\SimpleEagerSubSelectFetchTests.java,projects/hibernate-orm/hibernate-core/src/test/java/org/hibernate/orm/test/mapping/fetch/subselect/SimpleEagerSubSelectFetchTests.java,SimpleEagerSubSelectFetchTests.java,Thing,20,14,18,2,2,0,true,false,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-core\src\test\java\org\hibernate\orm\test\mapping\fetch\subselect\SimpleLazySubSelectFetchTests.java,projects/hibernate-orm/hibernate-core/src/test/java/org/hibernate/orm/test/mapping/fetch/subselect/SimpleLazySubSelectFetchTests.java,SimpleLazySubSelectFetchTests.java,Thing,20,14,18,2,2,0,true,false,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-core\src\test\java\org\hibernate\orm\test\mapping\fetch\subselect\SimpleMultipleEagerSubSelectFetchTests.java,projects/hibernate-orm/hibernate-core/src/test/java/org/hibernate/orm/test/mapping/fetch/subselect/SimpleMultipleEagerSubSelectFetchTests.java,SimpleMultipleEagerSubSelectFetchTests.java,Trinket,20,20,22,1,1,0,true,false,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-core\src\test\java\org\hibernate\orm\test\mapping\fetch\subselect\SimpleMultipleLazySubSelectFetchTests.java,projects/hibernate-orm/hibernate-core/src/test/java/org/hibernate/orm/test/mapping/fetch/subselect/SimpleMultipleLazySubSelectFetchTests.java,SimpleMultipleLazySubSelectFetchTests.java,Trinket,20,20,22,1,1,0,true,false,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-core\src\test\java\org\hibernate\orm\test\mapping\fetch\subselect\SimpleNestedSubSelectFetchTests.java,projects/hibernate-orm/hibernate-core/src/test/java/org/hibernate/orm/test/mapping/fetch/subselect/SimpleNestedSubSelectFetchTests.java,SimpleNestedSubSelectFetchTests.java,LineItem,26,22,24,1,1,0,true,false,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-core\src\test\java\org\hibernate\orm\test\mapping\fetch\subselect\SubselectFetchCollectionFromBatchTest.java,projects/hibernate-orm/hibernate-core/src/test/java/org/hibernate/orm/test/mapping/fetch/subselect/SubselectFetchCollectionFromBatchTest.java,SubselectFetchCollectionFromBatchTest.java,Employee,29,15,23,3,3,0,true,false,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-core\src\test\java\org\hibernate\orm\test\mapping\fetch\subselect\SubselectFetchTest.java,projects/hibernate-orm/hibernate-core/src/test/java/org/hibernate/orm/test/mapping/fetch/subselect/SubselectFetchTest.java,SubselectFetchTest.java,SubselectFetchTest,21,9,18,7,7,0,true,true,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-core\src\test\java\org\hibernate\orm\test\mapping\fetch\subselect\SubselectFetchWithFormulaTest.java,projects/hibernate-orm/hibernate-core/src/test/java/org/hibernate/orm/test/mapping/fetch/subselect/SubselectFetchWithFormulaTest.java,SubselectFetchWithFormulaTest.java,SubselectFetchWithFormulaTest,16,5,7,1,1,0,true,true,false,false,false,false,false,false,false,false
