,test_smell_App,test_smell_Version,test_smell_RelativeTestFilePath,test_smell_RelativeProductionFilePath,test_smell_Assertion Roulette,test_smell_Conditional Test Logic,test_smell_Constructor Initialization,test_smell_Default Test,test_smell_EmptyTest,test_smell_Exception Catching Throwing,test_smell_General Fixture,test_smell_Mystery Guest,test_smell_Print Statement,test_smell_Redundant Assertion,test_smell_Sensitive Equality,test_smell_Verbose Test,test_smell_Sleepy Test,test_smell_Eager Test,test_smell_Lazy Test,test_smell_Duplicate Assert,test_smell_Unknown Test,test_smell_IgnoredTest,test_smell_Resource Optimism,test_smell_Magic Number Test,test_smell_Dependent Test
code_smell_CouplingBetweenObjects,-0.37322876197417504,-0.37322876197417504,-0.37322876197417504,,-0.042733925893663496,0.033694015591829746,-0.03155241540091078,,-0.017854853508774703,-0.01600551525457161,0.04652495189303997,0.00965254998014603,0.001860928392579534,0.002367917876042317,0.022548003094804002,-0.0029992371235179377,0.018676953713232764,,,0.026512238359079714,-0.016415821140730057,-0.04745912873132337,0.011501511069516619,0.01016777207568481,
code_smell_CyclomaticComplexity,-0.2923731315532574,-0.2923731315532574,-0.2923731315532574,,-0.026829246709234193,0.0335574689645375,-0.02873935687012481,,-0.009226591480737113,-0.0072473775158621075,0.02573243567127022,0.013128487093134064,0.006077411673891792,0.007387326119757797,0.04207173170191691,0.004966250505118893,0.013232707075486861,,,0.03153565333098482,-0.009129253502470664,-0.01338229192165298,0.01253358895620167,0.01610991409633625,
code_smell_ExcessiveParameterList,-0.11185045631794203,-0.11185045631794203,-0.11185045631794203,,-0.015567848896640077,0.006430259702099187,-0.011666675938510574,,-0.004112896453895635,-0.002585952685979136,0.0069863920974291,-0.0014374472245554072,-0.0008468032840291248,-0.004401358214317785,0.010223370285346164,-0.002020908755512727,0.0027965823552554246,,,0.0060973230817398805,-0.007943176196279461,-0.005786463599460843,-0.00022838187489220257,0.006120939427821232,
code_smell_GodClass,-0.2860095515503208,-0.2860095515503208,-0.2860095515503208,,-0.027625159320587796,0.03100952861653809,-0.028275068660301193,,-0.011844912500542787,-0.00215387484039104,0.021968284264709634,0.02676203384480389,0.0075145437866362425,0.006780240867155859,0.03997397242665825,0.0033293585038583254,0.02115440808428539,,,0.033336002451875124,-0.009591809631076855,-0.010258900716486857,0.027082121930415995,0.01705758556967118,
code_smell_TooManyFields,-0.07712986067417968,-0.07712986067417968,-0.07712986067417968,,-0.014945093074539218,0.004367455963047738,-0.0025912830245953715,,-0.002064956348000297,0.00022688983620602985,0.0024001395923319074,0.018163023152175117,0.005399005302097946,-0.006565352473496602,0.019833197956488437,-0.001969408121681573,0.01851834011991262,,,0.0025312768885740813,-0.009055994499998932,0.0037972893795472874,0.022994268948308975,0.004490920224846411,
code_smell_TooManyMethods,-0.5501128080168753,-0.5501128080168753,-0.5501128080168753,,-0.10325097778643194,-0.007788493205127103,-0.03638913620164534,,-0.01807941740459952,-0.0787700543473224,0.006300792654476221,0.0033546800816466054,-0.0024404666720693026,0.01203229090200119,0.012706745146040865,0.002345703065829037,-0.004352122172360004,,,-0.003943890590768171,-0.057451036097239824,-0.06335271720144128,0.003970254538000727,-0.029356703348682782,
