,test_smell_App,test_smell_Version,test_smell_RelativeTestFilePath,test_smell_RelativeProductionFilePath,test_smell_Assertion Roulette,test_smell_Conditional Test Logic,test_smell_Constructor Initialization,test_smell_Default Test,test_smell_EmptyTest,test_smell_Exception Catching Throwing,test_smell_General Fixture,test_smell_Mystery Guest,test_smell_Print Statement,test_smell_Redundant Assertion,test_smell_Sensitive Equality,test_smell_Verbose Test,test_smell_Sleepy Test,test_smell_Eager Test,test_smell_Lazy Test,test_smell_Duplicate Assert,test_smell_Unknown Test,test_smell_IgnoredTest,test_smell_Resource Optimism,test_smell_Magic Number Test,test_smell_Dependent Test
code_smell_CouplingBetweenObjects,-0.3721537809600351,-0.3721537809600351,-0.3721537809600351,,-0.038572010508767934,0.03891745439905764,-0.03140921750307509,,-0.01802146411767963,-0.012011807788942667,0.05007045848473338,0.011148341934851388,0.002495341828690356,0.0031751702787453854,0.025093848816278973,-0.0029316884101242475,0.02050795907470146,,,0.03100168673080206,-0.013388730216246696,-0.04646634614842359,0.01310337860657884,0.014700459786293505,
code_smell_CyclomaticComplexity,-0.4383924375301689,-0.4383924375301689,-0.4383924375301689,,-0.04600909296848178,0.03386502575964434,-0.03812974904375473,,-0.022658033124121894,-0.026171948626946825,0.03162560731817859,0.014808948360391698,-0.0007234808098434499,0.004836815196140307,0.042274923262336346,0.005362046593988252,0.0011557381338952305,,,0.0238216829748823,-0.03555271488831661,-0.03947861729637985,0.012138892795011357,0.006069731300569844,
code_smell_ExcessiveParameterList,-0.1632702589553853,-0.1632702589553853,-0.1632702589553853,,-0.019667249128501228,0.012273024929749427,-0.015046786225395913,,-0.006871208124015296,-0.0009016748134755342,0.019032326042324414,-0.005563749898438025,-0.0006980425435250539,-0.007286988546031131,0.016760297513057,-0.0030557470376472197,0.007179573044666406,,,0.01216556857518726,-0.008762601458349891,-0.011026486961318336,-0.004114838349618684,0.01383663312857778,
code_smell_GodClass,-0.28679268029539723,-0.28679268029539723,-0.28679268029539723,,-0.02382761523723898,0.035643423564293744,-0.02816356282857481,,-0.01181130152058943,0.0024741908447398226,0.024520775376933118,0.030712608762330694,0.007227047246298512,0.00704455189520807,0.0430539758482001,0.003945147823120598,0.024479275243922873,,,0.03721293845226956,-0.007493200577226059,-0.007449556349891897,0.031090299535260785,0.021118741328995348,
code_smell_TooManyFields,-0.08023985617299867,-0.08023985617299867,-0.08023985617299867,,-0.016645623285730146,0.004695318473867012,-0.00222490726050062,,-0.00195888456578869,-0.0015715854731460025,0.0029142018929918896,0.013494393972473819,0.005809593284535127,-0.006659144174114849,0.01911851047091391,-0.0019975428086903163,0.01965139071230782,,,0.00257140011969632,-0.01112128811289492,0.0017960124962615892,0.018654489759554523,0.0023546913766424415,
code_smell_TooManyMethods,-0.6171918220579266,-0.6171918220579266,-0.6171918220579266,,-0.11378091618088663,-0.008616418823030658,-0.04014041786392685,,-0.02073161325671556,-0.08744377686843681,0.009754624929424504,0.0014277575868460453,-0.005614670424259221,0.012237336791533717,0.011736364417218285,0.0016587982618869162,-0.0017360441888028624,,,-0.0057142237358447385,-0.06804406441466433,-0.06951709728991848,0.0025738393437282083,-0.03355545419208333,
