file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,key,GodClass,TooManyFields,TooManyMethods,CyclomaticComplexity,CouplingBetweenObjects,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,project,ExcessiveParameterList
C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-core\src\main\java\org\hibernate\dialect\ColumnAliasExtractor.java,org.hibernate.dialect.ColumnAliasExtractor,interface,1,3,2,1,1,1,0,0,0,0.0,,,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,5,0,0,0,0,0,1,0,2,0,2,0,0,0,0,65,1,0,org/hibernate/dialect/columnaliasextractor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hibernate-orm,0.0
C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\GaussDBUUIDJdbcType.java,org.hibernate.community.dialect.GaussDBUUIDJdbcType$Anonymous1,anonymous,2,2,0,2,4,1,0,6,6,0.0,0.0,0.0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,-1,0,org/hibernate/community/dialect/gaussdbuuidjdbctype,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hibernate-orm,0.0
C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-core\src\main\java\org\hibernate\dialect\function\array\DB2UnnestFunction.java,org.hibernate.dialect.function.array.DB2UnnestFunction,class,19,20,1,19,11,3,0,27,3,0.6666667,0.0,0.0,3,0,1,0,2,0,3,0,0,0,1,0,0,1,0,0,1,0,0,95,1,0,4,0,0,24,2,12,0,14,4,1,0,1,87,1,0,org/hibernate/dialect/function/array/db2unnestfunction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hibernate-orm,0.0
C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\models\annotations\internal\FilterJoinTableAnnotation.java,org.hibernate.boot.models.annotations.internal.FilterJoinTableAnnotation,class,11,14,3,11,15,1,0,15,0,0.55769235,0.0,0.0,13,0,13,0,0,0,13,0,0,0,4,0,0,4,0,0,0,0,2,60,5,0,1,0,0,9,1,15,0,4,1,0,0,0,43,1,0,org/hibernate/boot/models/annotations/internal/filterjointableannotation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hibernate-orm,0.0
C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-core\src\main\java\org\hibernate\sql\ast\tree\predicate\InListPredicate.java,org.hibernate.sql.ast.tree.predicate.InListPredicate,class,4,11,7,4,9,2,0,3,0,0.3888889,0.0,0.0,9,0,9,0,0,0,9,0,0,0,2,0,0,2,0,0,2,0,0,33,2,0,0,0,0,0,0,2,0,2,0,0,0,0,24,1,0,org/hibernate/sql/ast/tree/predicate/inlistpredicate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hibernate-orm,0.0
C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-core\src\main\java\org\hibernate\event\service\internal\EventListenerRegistryImpl.java,org.hibernate.event.service.internal.EventListenerRegistryImpl,class,9,11,2,9,21,1,0,21,60,0.8333334,0.0,0.0,12,0,8,4,0,0,8,0,6,0,2,0,0,2,0,0,2,0,1,149,5,3,4,1,0,9,2,9,4,8,2,0,1,0,46,1,0,org/hibernate/event/service/internal/eventlistenerregistryimpl,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hibernate-orm,0.0
C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-core\src\main\java\org\hibernate\dialect\DB2iDialect.java,org.hibernate.dialect.DB2iDialect,class,17,20,3,17,40,3,0,14,289,0.8557693,0.0,0.0,26,0,24,0,2,0,26,0,0,0,4,4,1,3,0,0,4,0,2,96,23,0,4,0,0,10,12,4,3,4,1,1,0,0,119,1,0,org/hibernate/dialect/db2idialect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hibernate-orm,0.0
C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-testing\src\main\java\org\hibernate\testing\orm\junit\DialectFeatureChecks.java,org.hibernate.testing.orm.junit.DialectFeatureChecks$SupportsGlobalTemporaryTable,innerclass,2,2,0,2,2,1,0,1,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10,9,0,org/hibernate/testing/orm/junit/dialectfeaturechecks,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hibernate-orm,0.0
C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\spi\XmlMappingBinderAccess.java,org.hibernate.boot.spi.XmlMappingBinderAccess,class,7,9,2,7,8,1,0,7,18,0.625,0.0,0.0,8,0,8,0,0,0,8,0,0,0,2,0,0,2,0,0,2,0,0,30,6,0,0,0,0,0,0,4,0,2,0,0,0,0,56,1,0,org/hibernate/boot/spi/xmlmappingbinderaccess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hibernate-orm,0.0
C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-core\src\main\java\org\hibernate\sql\ast\tree\select\SelectClause.java,org.hibernate.sql.ast.tree.select.SelectClause,class,3,13,10,3,7,1,0,2,7,0.5714286,0.0,0.0,7,0,7,0,0,0,7,0,0,0,2,0,0,2,0,0,1,0,0,25,2,0,0,0,0,0,0,3,0,2,0,0,0,0,39,1,0,org/hibernate/sql/ast/tree/select/selectclause,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hibernate-orm,0.0
